"","CO_MUNICIPIO","NOME_MUNICIPIO.x","QTD"
"1",3500105,"Adamantina",1
"2",3500204,"Adolfo",0
"3",3500303,"Aguaí",0
"4",3500402,"Águas da Prata",1
"5",3500501,"Águas de Lindóia",1
"6",3500550,"Águas de Santa Bárbara",0
"7",3500600,"Águas de São Pedro",0
"8",3500709,"Agudos",1
"9",3500758,"Alambari",1
"10",3500808,"Alfredo Marcondes",0
"11",3500907,"Altair",0
"12",3501004,"Altinópolis",2
"13",3501103,"Alto Alegre",0
"14",3501152,"Alumínio",0
"15",3501202,"Álvares Florence",0
"16",3501301,"Álvares Machado",1
"17",3501400,"Álvaro de Carvalho",0
"18",3501509,"Alvinlândia",0
"19",3501608,"Americana",0
"20",3501707,"Américo Brasiliense",0
"21",3501806,"Américo de Campos",0
"22",3501905,"Amparo",2
"23",3502002,"Analândia",0
"24",3502101,"Andradina",1
"25",3502200,"Angatuba",1
"26",3502309,"Anhembi",0
"27",3502408,"Anhumas",0
"28",3502507,"Aparecida",0
"29",3502606,"Aparecida d'Oeste",0
"30",3502705,"Apiaí",0
"31",3502754,"Araçariguama",0
"32",3502804,"Araçatuba",4
"33",3502903,"Araçoiaba da Serra",2
"34",3503000,"Aramina",2
"35",3503109,"Arandu",0
"36",3503158,"Arapeí",0
"37",3503208,"Araraquara",3
"38",3503307,"Araras",2
"39",3503356,"Arco-Íris",0
"40",3503406,"Arealva",0
"41",3503505,"Areias",1
"42",3503604,"Areiópolis",0
"43",3503703,"Ariranha",0
"44",3503802,"Artur Nogueira",0
"45",3503901,"Arujá",0
"46",3503950,"Aspásia",0
"47",3504008,"Assis",1
"48",3504107,"Atibaia",3
"49",3504206,"Auriflama",0
"50",3504305,"Avaí",0
"51",3504404,"Avanhandava",0
"52",3504503,"Avaré",1
"53",3504602,"Bady Bassitt",0
"54",3504701,"Balbinos",0
"55",3504800,"Bálsamo",0
"56",3504909,"Bananal",0
"57",3505005,"Barão de Antonina",0
"58",3505104,"Barbosa",0
"59",3505203,"Bariri",1
"60",3505302,"Barra Bonita",1
"61",3505351,"Barra do Chapéu",0
"62",3505401,"Barra do Turvo",0
"63",3505500,"Barretos",4
"64",3505609,"Barrinha",0
"65",3505708,"Barueri",1
"66",3505807,"Bastos",0
"67",3505906,"Batatais",2
"68",3506003,"Bauru",1
"69",3506102,"Bebedouro",1
"70",3506201,"Bento de Abreu",0
"71",3506300,"Bernardino de Campos",1
"72",3506359,"Bertioga",0
"73",3506409,"Bilac",0
"74",3506508,"Birigui",0
"75",3506607,"Biritiba Mirim",0
"76",3506706,"Boa Esperança do Sul",1
"77",3506805,"Bocaina",1
"78",3506904,"Bofete",0
"79",3507001,"Boituva",2
"80",3507100,"Bom Jesus dos Perdões",1
"81",3507159,"Bom Sucesso de Itararé",0
"82",3507209,"Borá",0
"83",3507308,"Boracéia",0
"84",3507407,"Borborema",0
"85",3507456,"Borebi",0
"86",3507506,"Botucatu",0
"87",3507605,"Bragança Paulista",2
"88",3507704,"Braúna",0
"89",3507753,"Brejo Alegre",0
"90",3507803,"Brodowski",3
"91",3507902,"Brotas",3
"92",3508009,"Buri",1
"93",3508108,"Buritama",1
"94",3508207,"Buritizal",0
"95",3508306,"Cabrália Paulista",0
"96",3508405,"Cabreúva",0
"97",3508504,"Caçapava",0
"98",3508603,"Cachoeira Paulista",1
"99",3508702,"Caconde",2
"100",3508801,"Cafelândia",0
"101",3508900,"Caiabu",1
"102",3509007,"Caieiras",0
"103",3509106,"Caiuá",0
"104",3509205,"Cajamar",0
"105",3509254,"Cajati",0
"106",3509304,"Cajobi",0
"107",3509403,"Cajuru",5
"108",3509452,"Campina do Monte Alegre",0
"109",3509502,"Campinas",0
"110",3509601,"Campo Limpo Paulista",0
"111",3509700,"Campos do Jordão",0
"112",3509809,"Campos Novos Paulista",0
"113",3509908,"Cananéia",0
"114",3509957,"Canas",0
"115",3510005,"Cândido Mota",2
"116",3510104,"Cândido Rodrigues",0
"117",3510153,"Canitar",0
"118",3510203,"Capão Bonito",1
"119",3510302,"Capela do Alto",0
"120",3510401,"Capivari",1
"121",3510500,"Caraguatatuba",0
"122",3510609,"Carapicuíba",0
"123",3510708,"Cardoso",0
"124",3510807,"Casa Branca",1
"125",3510906,"Cássia dos Coqueiros",1
"126",3511003,"Castilho",0
"127",3511102,"Catanduva",2
"128",3511201,"Catiguá",0
"129",3511300,"Cedral",0
"130",3511409,"Cerqueira César",1
"131",3511508,"Cerquilho",0
"132",3511607,"Cesário Lange",0
"133",3511706,"Charqueada",0
"134",3557204,"Chavantes",0
"135",3511904,"Clementina",0
"136",3512001,"Colina",1
"137",3512100,"Colômbia",0
"138",3512209,"Conchal",0
"139",3512308,"Conchas",3
"140",3512407,"Cordeirópolis",0
"141",3512506,"Coroados",0
"142",3512605,"Coronel Macedo",0
"143",3512704,"Corumbataí",0
"144",3512803,"Cosmópolis",1
"145",3512902,"Cosmorama",0
"146",3513009,"Cotia",0
"147",3513108,"Cravinhos",1
"148",3513207,"Cristais Paulista",0
"149",3513306,"Cruzália",1
"150",3513405,"Cruzeiro",1
"151",3513504,"Cubatão",0
"152",3513603,"Cunha",4
"153",3513702,"Descalvado",1
"154",3513801,"Diadema",0
"155",3513850,"Dirce Reis",0
"156",3513900,"Divinolândia",1
"157",3514007,"Dobrada",0
"158",3514106,"Dois Córregos",1
"159",3514205,"Dolcinópolis",0
"160",3514304,"Dourado",1
"161",3514403,"Dracena",1
"162",3514502,"Duartina",0
"163",3514601,"Dumont",0
"164",3514700,"Echaporã",1
"165",3514809,"Eldorado",0
"166",3514908,"Elias Fausto",0
"167",3514924,"Elisiário",0
"168",3514957,"Embaúba",0
"169",3515004,"Embu das Artes",1
"170",3515103,"Embu-Guaçu",0
"171",3515129,"Emilianópolis",2
"172",3515152,"Engenheiro Coelho",0
"173",3515186,"Espírito Santo do Pinhal",3
"174",3515194,"Espírito Santo do Turvo",0
"175",3557303,"Estiva Gerbi",0
"176",3515301,"Estrela do Norte",0
"177",3515202,"Estrela d'Oeste",1
"178",3515350,"Euclides da Cunha Paulista",0
"179",3515400,"Fartura",0
"180",3515608,"Fernando Prestes",0
"181",3515509,"Fernandópolis",0
"182",3515657,"Fernão",0
"183",3515707,"Ferraz de Vasconcelos",0
"184",3515806,"Flora Rica",0
"185",3515905,"Floreal",0
"186",3516002,"Flórida Paulista",0
"187",3516101,"Florínea",0
"188",3516200,"Franca",4
"189",3516309,"Francisco Morato",0
"190",3516408,"Franco da Rocha",0
"191",3516507,"Gabriel Monteiro",0
"192",3516606,"Gália",0
"193",3516705,"Garça",2
"194",3516804,"Gastão Vidigal",0
"195",3516853,"Gavião Peixoto",0
"196",3516903,"General Salgado",0
"197",3517000,"Getulina",0
